,overall_rmse,overall_mae,overall_r2,ramadan/eid_window_rmse,ramadan/eid_window_mae,window_rmse_improvement_%
LightGBM_no_hijri,6928.781776054159,4560.659945525424,0.9005140912530493,6683.021690780767,4444.3031987723225,0.0
LightGBM_with_hijri,6735.476611719945,4472.9745333824585,0.9059877450756593,6492.13867608628,4396.036898627773,2.856238143859546
